actor_id,movie_id,role
152409,0,#1 Man
16703,2,Associated Press
33054,2,Joe Collins
54593,2,Sarge
55875,2,Candy Man
161139,2,Mr. Kessel
206526,2,Bodyguard
206969,2,Bruno
219385,2,Karl
37145,3,
12522,6,Morgan
36466,6,Arvin Wadlow
53139,6,Orlo Wadlow
68023,6,Assayer
102911,6,
106778,6,Purchasing Agent
154042,6,Finley Hooper
156939,6,Car Salesman
161535,6,
173490,6,
184389,6,Rutledge
218157,6,Mr. Purdham
225013,6,Frisby
232840,6,Professor Albert Dooley
233008,6,Commencement Speaker
234110,6,Mr. Forbes
5772,7,
8147,7,
93998,7,
30172,11,Truck Driver
39490,11,Dick
46587,11,Henry
59908,11,Jack
60133,11,Marlowe Mansfield Booth
81364,11,Red
93639,11,Sheriff
96982,11,Cecil
130607,11,Popcorn vendor
131443,11,McGlen's Second Son
167022,11,Ironmansky
191029,11,Guard
198782,11,Buck
199008,11,Bill Anders
211192,11,Spud
33036,14,
112366,14,
223733,15,Dad
127935,16,
170640,16,
188473,16,
30376,17,
178485,17,
3373,18,News Producer
23089,18,Surgeon General
30658,18,Jonathan Schaffer
39949,18,Tobacco Spokesman
53611,18,Suicide Jock
63946,18,Suicide Yuppie
94785,18,
109502,18,Magnate #1
111432,18,
125910,18,Frenchman
125911,18,
159379,18,Store Customer
161785,18,Butler
168434,18,Russ Carter
170763,18,Photo Flash Victim
172958,18,Senator
197022,18,Photo Student
223098,18,
224715,18,Operator
233208,18,Chairman's Real Son
60782,19,Ackley
145618,19,Dick Arlington
147771,19,Hammersley
233712,19,Tracy
21430,20,Robert Smith
65007,20,Himself
74801,20,William Myers
78385,20,Arthur Borden
123345,20,Edward Jackson
128160,20,Himself
129091,20,Samuel Parks
129377,20,Chief of the Secret Service
181336,20,James Long
19404,21,Customer #1
24351,21,
29828,21,Trucker
167068,21,Convenience store customer
44857,22,
94843,22,Checker
109291,22,Bobby Jim
150737,22,Aiken
216866,22,Burden
225690,22,Kleinschmidt
109603,23,Host
108299,24,
40140,26,Snowball
17438,31,Jay
33275,31,Nathan
45958,31,Scott
77920,31,Evan
77929,31,Mr. Walsh
172049,31,Male Cop
75914,32,Himself
89020,32,Himself
45097,33,Lawrence
90000,33,Junior
146469,33,Lieutenant Dan Archer
154381,33,Michael Barnes
171270,33,Marc
180617,33,Curtis Locke
121070,34,
174497,34,
93753,35,
232052,35,
83122,36,Himself
36028,37,Imant Herbert
58881,38,
63811,38,
69912,38,Oberst (Colonel)
139559,38,Martin
140886,38,
146205,38,
161153,38,Kemetter
200363,38,
206764,38,
133316,41,J. Gordon Castle
174349,41,Judge J.R. Brand
206601,41,Gentleman Jim Raynor
89751,42,Himself
17314,43,Father Monahan
26725,43,Vietnam Vet
27748,43,Bus Driver
28116,43,Hippie in Need
43544,43,Marquette
46661,43,Buddy Wells
84808,43,Singer in Band
92289,43,Bad Trip Counselor
96084,43,Singer/Guitar Player on Bus
104133,43,Chairman of Draft Board
115169,43,
118543,43,SDS Radical
126268,43,Chicago Delegate/Reed Student
132868,43,Reverend Willie Taylor
134389,43,Big Max
138448,43,2nd Blackman
138951,43,Coach
159206,43,Blackman
167279,43,Train Conductor
169869,43,Jimmy Dunbar
172292,43,FBI Agent #1
179789,43,Father Daniel Berrigan
184913,43,Fred Hampton
186147,43,Berkeley Delegate
194331,43,Michael Herlihy
194871,43,Half Sauced Man
197394,43,Tom Gryzbowski
204600,43,Sergeant
232906,43,Cross-dressing Draftee
55816,44,
49697,45,Himself
76368,45,Himself
172115,45,Himself
172125,45,Himself
172129,45,Himself
128099,46,Segment Presenter
144589,46,Segment Presenter
145805,46,Host
84869,48,Bill Yang
84095,49,Pai Fu-Kuo
86285,49,Wang Ching-Kuo
35199,52,
61375,52,
69857,52,
80684,52,Dragon Mi Yong
83891,52,VIP Club bouncer
118136,52,
148031,52,
195531,52,
218082,52,Fei
34093,53,Cop
79975,53,
80610,53,Cop
80624,53,Awesome Wolf
80681,53,
80684,53,Dragon Mao
80813,53,Tiger Au
83826,53,Bodyguard No 1
83828,53,Pirate No 4
84559,53,
84586,53,Yenkit
121796,53,Python
144848,53,Black Bear
146098,53,Governor
154327,53,
210052,53,Shi King
213104,53,Moutain Tiger
217589,53,Homely Cop
218099,53,
223758,55,
24282,58,
116831,58,
116860,58,
137433,58,
163528,58,
38551,61,Himself - Director
87104,61,Himself - Producer
104472,61,Himself - Actor/Alfredo
122161,61,Himself - Actor/Carlos
204703,61,Himself - Actor/Film Photogra
160726,62,
196808,62,
198885,63,Bad Buck Peters
189012,64,Himself
83661,65,commissaire Etchegoyen
104304,65,
35256,67,Himself
101665,67,Himself
106289,67,Himself
108714,67,Himself
151211,67,Himself
182097,67,Himself
25320,69,Court reporter
25332,69,Col. Ian Hamilton (Lord Kitch
35402,69,Lt. Reed
39537,69,Large Boer
59765,69,"Lt. Peter Handcock, Bushveldt"
76742,69,"Lord Horatio Kitchener, Field"
